,Unnamed: 0,Name,Price,img_url,prod_url,Star,Rating,Amoled,Display Resolution,Water Resistance,Battery Life,Charge Time,Alarm Clock,Calendar,Step Count,Calorie Count,Heart Rate Monitor,Voice Control,Call Features,Operating Range,Gesture Control,5☆_Rating,4☆_Rating,3☆_Rating,2☆_Rating,1☆_Rating,Battery & Charger,Display,Design,Activity Tracking,Dial Color,Dial Shape,Strap Color,Strap Material,Dial Color,Dial Shape,Strap Color,Strap Material,Water Resistant,Display_Size,Manufacturer,manf_url
0,0,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l5ld8y80/smartwatch/r/q/t/-original-imagg8dksgct9hxg.jpeg?q=70,/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmfa97e2fcabed9?pid=SMWGEH7VGYMGCP3V&lid=LSTSMWGEH7VGYMGCP3VTODMR3&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_1&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhsY4oKX71RRwSt0tYKPiRVO5_UvQc-NDrLlZWaVSiKtUg%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,179137,No,240 x 286 pixel,None,7,2 hours,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","1,07,318","36,443","13,008","6,342","16,026",3.8,4.1,4.1,3.9,Black,Rectangle,Black,Silicone,Black,Rectangle,Black,Silicone,Yes,45.72,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
1,1,"Noise Vision 3 with 1.96"" AMOLED display with Thin Bezel, Metallic Build Smartwatch","₹5,499",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/k/e/i/-original-imagqtnzhhy7gmdp.jpeg?q=70,/noise-vision-3-1-96-amoled-display-thin-bezel-metallic-build-smartwatch/p/itm794616bd50b67?pid=SMWGPB58GERFYYJN&lid=LSTSMWGPB58GERFYYJNNMASDH&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_2&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklhusllQw2uFwtalAB1aRtcOB4Xag20SsPRLmFK05BgnRXw%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.3,512,Yes,410 x 502 pixel,None,7,None,Yes,None,Yes,Yes,Yes,Yes,None,10 m,Yes,338,92,30,10,42,4.3,4.6,4.6,4.4,Silver,Rectangle,Silver,Stainless steel,Silver,Rectangle,Silver,Stainless steel,Yes,49.784,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
2,2,boAt Storm call 1.69 inch HD display with Bluetooth Calling & 550 Nits Brightness Smartwatch,"₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/7/f/-original-imagn8pyfh5teyzg.jpeg?q=70,/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGNFSFHYHP4UAU&lid=LSTSMWGNFSFHYHP4UAUVO0Z7S&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_3&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGNFSFHYHP4UAU.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,228283,No,240 x 280 Pixels,None,10,None,Yes,Yes,Yes,Yes,Yes,None,"Talk Through Watch, Dial Pad, Save 10 Contacts",10 m,None,"1,31,856","46,369","18,845","9,042","22,171",3.6,3.9,4,3.8,None,Rectangle,Pink,Silicone,None,Rectangle,Pink,Silicone,Yes,41.91,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
3,3,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch","₹1,299",https://rukminim2.flixcart.com/image/612/612/kz1lle80/smartwatch/t/t/p/-original-imagb54swp4xn4na.jpeg?q=70,/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itmd8257a482e5d5?pid=SMWGAU62XCAESACH&lid=LSTSMWGAU62XCAESACHHEGULG&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_4&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGAU62XCAESACH.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,345620,No,240 x 280 pixel,None,7,120 min,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","2,00,512","71,973","27,467","12,411","33,257",3.7,3.9,4,3.8,Black,Rectangle,Black,Silicone,Black,Rectangle,Black,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
4,4,"Noise Caliber Go 1.69"" HD Display with 30 Sports Modes, 150+ Watch Faces Smartwatch",₹999,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/v/3/-original-imaghqqt3jkwzd4n.jpeg?q=70,/noise-caliber-go-1-69-hd-display-30-sports-modes-150-watch-faces-smartwatch/p/itm1882cfe122ca0?pid=SMWGEGFHATYUCTNE&lid=LSTSMWGEGFHATYUCTNERZETNJ&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_5&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGEGFHATYUCTNE.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,49129,No,240 x 280 pixel,None,10,None,Yes,Yes,Yes,Yes,Yes,None,None,10 m,None,"29,142","10,360","3,797","1,682","4,148",4,4.1,4.2,3.9,Black,Square,Black,Silicone,Black,Square,Black,Silicone,Yes,43,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
5,5,"Noise Loop 1.85'' Display with Advanced Bluetooth Calling, 550 Nits Brightness Smartwatch","₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/e/u/-original-imagkjtjkxk2kapw.jpeg?q=70,/noise-loop-1-85-display-advanced-bluetooth-calling-550-nits-brightness-smartwatch/p/itmdfd159ab4efa7?pid=SMWGG6GFC9WUNEJK&lid=LSTSMWGG6GFC9WUNEJKGVGHVD&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&spotlightTagId=TrendingId_ajy%2Fbuh&srno=s_1_6&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGG6GFC9WUNEJK.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,2521,No,240 x 284 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,None,"Mute Calls, Reject Calls, Take Calls, Speed Dial",10 m,None,"1,525",500,188,86,222,4,4.1,4.2,4,Rose Gold,Square,Pink,Silicone,Rose Gold,Square,Pink,Silicone,Yes,46.99,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
6,6,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch","₹1,499",https://rukminim2.flixcart.com/image/612/612/l5ld8y80/smartwatch/f/k/q/-original-imagg8d9hbkhfffg.jpeg?q=70,/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm339ed82cec89e?pid=SMWGEH7V3NRGVPQ9&lid=LSTSMWGEH7V3NRGVPQ9LIOCW6&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_7&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGEH7V3NRGVPQ9.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.2,179137,No,240 x 286 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,"Reject Calls, Take Calls, Speed Dial",10 m,"Change Music, Answer Calls","1,07,318","36,443","13,008","6,342","16,026",3.8,4.1,4.1,3.9,Gold,Rectangle,Glossy Black,Silicone,Gold,Rectangle,Glossy Black,Silicone,Yes,45.72,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
7,7,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design Smartwatch","₹2,799",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/4/2/-original-imaggstrsxtwxzar.jpeg?q=70,/noise-evolve-3-1-43-amoled-always-on-display-bluetooth-calling-metallic-design-smartwatch/p/itm36b6117652964?pid=SMWGGP58M2H75R6H&lid=LSTSMWGGP58M2H75R6HQDJ44Y&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_8&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=en_ZBsi2VlhnP7ohPMRhEwiv5Bhf2MgKuQM6Q4BsCyklht9_FxQ1MSrFLSlnKd5gA6IaqoCkb7o9FzTHD2-hIqFLQ%3D%3D&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.3,32975,Yes,466 x 466 pixel,None,7,None,Yes,Yes,Yes,Yes,Yes,Yes,None,10 m,"Raise wrist : light up screen, Pull down : light down screen","20,829","7,180","1,841",756,"2,369",4.2,4.5,4.4,4,Black,Circle,Black,Silicone,Black,Circle,Black,Silicone,Yes,36.32,Noise,https://etimg.etb2bimg.com/photo/99234903.cms
8,8,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/d/i/-original-imaghbgafqnjygta.jpeg?q=70,/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5D9YKF7HJ&lid=LSTSMWGHYF5D9YKF7HJUYBWXQ&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&srno=s_1_9&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGHYF5D9YKF7HJ.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,228283,No,240 x 280 Pixels,None,10,None,Yes,Yes,Yes,Yes,Yes,None,"Talk through watch, Dial pad, Save 10 contacts",10 m,None,"1,31,856","46,369","18,845","9,042","22,171",3.6,3.9,4,3.8,None,Rectangle,Blue,Silicone,None,Rectangle,Blue,Silicone,Yes,42.926,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
9,9,boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch,"₹1,399",https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/u/f/-original-imaghbgakwcqed9h.jpeg?q=70,/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5FXGPBV6A&lid=LSTSMWGHYF5FXGPBV6ANW6W6Q&marketplace=FLIPKART&q=smartwatch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_10&otracker=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_3_na_na_na&iid=2a0e3691-b55c-4c0a-a4b8-f3c33fd94798.SMWGHYF5FXGPBV6A.SEARCH&ssid=7icsx55mz40000001688988918657&qH=adc5bc5b72db9fa3,4.1,228283,No,240 x 280 Pixels,None,10,None,Yes,Yes,Yes,Yes,Yes,None,"Talk through watch, Dial pad, Save 10 contacts",10 m,None,"1,31,856","46,369","18,845","9,042","22,171",3.6,3.9,4,3.8,None,Rectangle,Black,Silicone,None,Rectangle,Black,Silicone,Yes,42.926,boAt,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202106/boat_1200_080621082427.jpg
